Date,WMT,FB
11/14/2016,68.584946,115.080002
11/15/2016,69.489815,117.199997
11/16/2016,69.460625,116.339996
11/17/2016,67.320084,117.790001
11/18/2016,66.687645,117.019997
11/21/2016,67.495224,121.769997
11/22/2016,68.224953,121.470001
11/23/2016,68.915756,120.839996
11/25/2016,69.304962,120.379997
11/28/2016,69.266037,120.410004
11/29/2016,69.44117,120.870003
11/30/2016,68.526573,118.419998
12/1/2016,68.760086,115.099998
12/2/2016,68.964401,115.400002
12/5/2016,68.049812,117.43
12/6/2016,68.458458,117.309998
12/7/2016,69.183617,117.949997
12/8/2016,68.928833,118.910004
12/9/2016,68.674057,119.68
12/12/2016,70.23214,117.769997
12/13/2016,70.359543,120.309998
12/14/2016,69.908768,120.209999
12/15/2016,69.653992,120.57
12/16/2016,69.556,119.870003
12/19/2016,70.143959,119.239998
12/20/2016,70.379143,119.089996
12/21/2016,69.810768,119.040001
12/22/2016,68.193871,117.400002
12/23/2016,68.144882,117.269997
12/27/2016,68.301666,118.010002
12/28/2016,67.919495,116.919998
12/29/2016,67.870499,116.349998
12/30/2016,67.733307,115.050003
1/3/2017,67.282539,116.860001
1/4/2017,67.674507,118.690002
1/5/2017,67.821503,120.669998
1/6/2017,66.890564,123.410004
1/9/2017,67.331528,124.900002
1/10/2017,66.861168,124.349998
1/11/2017,67.155144,126.089996
1/12/2017,66.606377,126.620003
1/13/2017,65.783226,128.339996
1/17/2017,67.047348,127.870003
1/18/2017,66.743568,127.919998
1/19/2017,66.263397,127.550003
1/20/2017,65.83223,127.040001
1/23/2017,65.312859,128.929993
1/24/2017,66.047821,129.369995
1/25/2017,65.54805,131.479996
1/26/2017,65.391258,132.779999
1/27/2017,64.342728,132.179993
1/30/2017,65.087471,130.979996
1/31/2017,65.401054,130.320007
2/1/2017,64.901291,133.229996
2/2/2017,65.361847,130.839996
2/3/2017,65.165871,130.979996
2/6/2017,65.067879,132.059998
2/7/2017,65.54805,131.839996
2/8/2017,66.449585,134.199997
2/9/2017,67.694115,134.139999
2/10/2017,66.655365,134.190002
2/13/2017,66.410393,134.050003
2/14/2017,67.282539,133.850006
2/15/2017,67.311935,133.440002
2/16/2017,67.488319,133.839996
2/17/2017,67.978294,133.529999
2/21/2017,70.016563,133.720001
2/22/2017,70.271347,136.119995
2/23/2017,69.879372,135.360001
2/24/2017,70.937706,135.440002
2/27/2017,70.300743,136.410004
2/28/2017,69.506989,135.539993
3/1/2017,69.036629,137.419998
3/2/2017,69.340408,136.759995
3/3/2017,68.625046,137.169998
3/6/2017,68.478058,137.419998
3/7/2017,68.468262,137.300003
3/8/2017,68.902603,137.720001
3/9/2017,68.96183,138.240005
3/10/2017,69.198746,138.789993
3/13/2017,69.050667,139.600006
3/14/2017,69.810768,139.320007
3/15/2017,69.672569,139.720001
3/16/2017,69.53437,139.990005
3/17/2017,68.991447,139.839996
3/20/2017,69.080292,139.940002
3/21/2017,69.00132,138.509995
3/22/2017,69.346817,139.589996
3/23/2017,68.96183,139.529999
3/24/2017,68.715042,140.339996
3/27/2017,68.764404,140.320007
3/28/2017,69.415916,141.759995
3/29/2017,69.830513,142.649994
3/30/2017,70.669579,142.410004
3/31/2017,71.15329,142.050003
4/3/2017,70.906502,142.279999
4/4/2017,71.08419,141.729996
4/5/2017,70.728821,141.850006
4/6/2017,70.51165,141.169998
4/7/2017,71.962746,140.779999
